NanogKO_0h_1 NanogKO_0h_2 NanogKO_0h_3 NanogKO_12h_1 NanogKO_12h_2 NanogKO_12h_3 NanogKO_24h_1 NanogKO_24h_2 NanogKO_24h_3 WT_0h_1 WT_0h_2 WT_12h_1 WT_12h_2 WT_12h_3 WT_24h_1 WT_24h_2 WT_24h_3
Coro1a 39 39 59 86 78 51 75 89 71 40 90 113 53 31 97 104 106
Mapk3 2249 2264 2682 2812 2473 1666 2959 2069 1459 1679 2732 3808 1422 989 2261 2472 2983
Gdpd3 20 7 14 20 15 13 18 3 12 4 18 36 10 7 16 10 26
Ypel3 224 187 227 274 267 159 264 185 122 202 353 499 197 139 240 302 365
Tbx6 5 12 2 4 12 2 7 5 5 32 54 22 4 5 9 13 11
Ppp4c 3159 3144 3443 3198 2987 1987 3570 2369 1792 2826 4438 5974 2119 1608 3747 4184 4487
Aldoa 58958 57821 67881 24439 22283 14792 26533 17327 13369 36444 57854 34282 12308 9094 21299 22834 26486
Fam57b 13 9 15 33 26 21 61 33 30 13 28 38 22 10 39 34 36
4930451I11Rik 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
Doc2a 439 394 443 693 627 425 886 509 433 365 552 857 304 224 590 687 684
Ino80e 1095 1085 1151 1589 1640 1116 2038 1296 1123 885 1652 2528 1026 699 1986 1809 2028
Hirip3 1266 1275 1489 1661 1584 1091 2134 1366 925 1372 2374 4270 1422 1039 2295 2788 3254
Taok2 1068 1116 1348 1968 1851 1268 2241 1436 1018 892 1824 3989 1490 1052 2442 2695 2851
Tmem219 121 110 166 118 115 71 124 78 60 72 128 164 67 40 114 146 152
Kctd13 249 270 258 329 339 248 455 294 250 242 505 498 185 132 356 339 413
Asphd1 2 2 1 11 4 2 18 4 3 1 2 4 4 3 7 11 11
Sez6l2 25 27 22 26 38 25 46 31 21 28 48 64 27 21 37 53 35
Cdipt 1508 1512 1802 2046 1773 1211 1975 1273 917 1023 1561 2687 944 730 1323 1313 1626
Mvp 2082 1949 2403 2181 2016 1399 2649 1590 1370 739 1160 2705 952 715 2082 2205 2489
Pagr1a 891 902 1001 899 853 556 1025 728 609 813 1204 1780 715 422 1287 1294 1327
Prrt2 37 38 45 90 74 47 78 59 31 27 57 98 30 24 72 84 74
Maz 3541 3571 4146 4716 4683 3021 5774 3681 3170 2646 6132 8555 3027 2044 6089 5973 6415
Kif22 2785 2815 3464 3340 3052 1923 3384 2205 1810 2242 3537 5096 1743 1347 3329 3596 3876
Zg16 1 1 0 4 1 1 4 2 1 0 0 0 0 0 0 0 0
AI467606 150 167 193 191 196 153 204 123 110 63 116 389 146 128 283 263 305
Qprt 64 96 84 121 102 71 208 113 116 69 93 127 56 36 195 174 175
Spn 114 129 148 189 148 99 344 139 150 49 102 269 115 70 282 369 399
Cd2bp2 2358 2398 2910 2891 2766 1762 3367 2051 1634 1983 3192 5392 1935 1395 3384 3762 4208
Tbc1d10b 2698 2706 3206 3224 3042 2038 2434 1565 1162 1531 2624 5825 2121 1559 2436 2833 3209
Mylpf 4394 4229 4834 3594 3241 2047 2086 1534 1122 1432 2035 4260 1444 1037 1779 1969 2268
Sept1 2079 2079 2421 2742 2556 1716 2575 1602 1439 994 1669 4717 1690 1228 3441 3696 4067
Gm4532 22 13 28 38 31 17 35 26 25 20 67 88 35 16 46 42 53
Zfp553 1141 1140 1336 1369 1316 820 1479 895 729 964 1631 2844 1017 695 1755 1808 2014
Zfp771 159 134 139 180 203 158 170 136 103 149 527 468 191 123 271 216 229
Dctpp1 1713 1582 1733 1943 1853 1261 2351 1674 1516 1984 3164 3954 1497 1071 3288 3123 3504
Sephs2 2668 2570 3099 2510 2292 1547 2750 1768 1346 2052 3488 4117 1385 1025 2574 2893 3168
Itgal 39 49 34 64 78 35 66 44 31 15 50 68 21 17 70 77 79
Zfp768 110 91 117 93 70 47 81 56 53 212 350 353 113 81 209 172 228
Zfp747 187 184 236 295 293 186 303 204 142 136 208 539 190 128 270 322 380
9130019O22Rik 110 103 165 186 183 114 171 148 82 61 123 365 124 68 183 201 241
E430018J23Rik 42 54 52 65 53 51 40 30 31 57 64 149 47 34 93 68 105
Zfp764 111 107 130 136 146 89 119 84 72 72 95 280 95 80 137 158 182
Zfp688 187 163 178 202 178 117 135 118 93 109 209 350 126 83 173 187 215
Zfp689 129 140 154 159 176 121 148 126 48 105 164 319 129 90 163 194 248
Prr14 708 667 787 1400 1201 850 752 550 409 538 955 2441 893 652 964 1048 1167
Fbrs 723 660 857 911 737 525 614 393 235 494 976 1511 603 360 652 610 795
Mir7060 0 1 0 2 3 1 0 0 1 1 0 3 0 0 0 0 1
1700008J07Rik 90 87 104 71 62 44 71 68 43 73 135 178 52 49 67 87 108
Snora30 2 2 6 1 2 1 4 1 1 3 4 13 3 6 1 3 0
Phkg2 228 184 241 288 286 162 272 171 121 140 252 461 160 131 182 231 251
Gm166 32 54 36 31 46 23 45 28 30 43 54 107 46 30 56 71 73
Rnf40 1704 1774 2146 2412 2111 1484 2352 1547 1114 1347 2474 4247 1533 1075 2318 2465 2823
1700120K04Rik 1 5 6 5 1 4 6 0 5 1 3 6 6 0 3 1 3
Zfp629 15 15 22 25 16 17 31 25 15 186 306 246 103 73 140 180 216
Bcl7c 526 535 561 567 563 396 599 405 367 672 1285 1328 496 306 964 853 963
Mir762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ctf1 32 17 38 34 41 23 57 41 23 72 111 125 52 42 91 84 109
Ctf2 2 1 2 3 1 4 4 2 4 2 6 11 3 2 6 4 3
Fbxl19 2859 3003 3553 3509 3361 2392 4098 2662 2073 2452 4815 6651 2432 1627 3592 3627 4134
Orai3 563 615 719 270 264 150 401 257 164 286 450 442 138 140 334 327 413
Setd1a 1969 2015 2530 3239 2891 1970 3214 1903 1406 1830 3728 5689 2033 1488 2833 3250 3788
Hsd3b7 236 221 276 186 189 105 178 123 107 79 138 311 129 93 199 226 241
Stx1b 25 23 29 32 18 27 37 23 7 24 53 71 25 28 35 45 34
Stx4a 1263 1259 1419 962 904 600 1116 748 539 490 805 1355 464 334 866 902 1025
Zfp668 446 427 512 446 411 268 470 318 198 324 662 850 315 243 490 463 563
Zfp646 808 860 1036 1020 935 635 1168 743 503 802 1393 2198 780 568 1200 1346 1646
Prss53 11 9 9 11 10 14 30 15 6 8 19 28 6 4 13 18 15
Vkorc1 285 262 302 277 276 213 378 246 193 152 249 522 159 129 308 378 440
Bckdk 1056 1022 1143 1164 1110 763 1240 852 643 885 1361 2424 904 609 1477 1572 1878
Kat8 477 497 583 535 441 327 544 407 254 403 740 858 340 233 524 626 722
Prss8 290 270 398 292 289 191 462 242 214 389 582 540 203 137 343 350 323
Prss36 158 161 161 146 141 96 187 133 118 144 208 295 115 85 242 218 282
Fus 17561 17007 19653 11909 11508 7737 16210 10636 7176 12374 23951 22280 7692 5542 13268 16387 19599
Pycard 557 505 598 292 347 207 531 337 295 198 247 308 109 101 279 296 339
Trim72 1 3 11 11 14 12 10 5 3 1 5 16 6 0 9 6 17
Itgam 31 24 28 28 43 23 43 40 23 5 11 18 7 10 36 39 31
Itgax 3 3 3 2 4 1 1 1 1 0 0 4 0 2 0 0 0
Itgad 1 1 0 0 4 3 2 1 5 0 0 3 1 0 0 1 2
4931431B13Rik 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
Cox6a2 3 7 6 0 2 1 0 0 0 0 0 0 0 0 0 2 1
9130023H24Rik 32 33 50 46 38 28 47 32 18 29 62 80 24 21 51 58 59
Armc5 258 282 273 331 335 259 355 230 204 216 343 674 258 164 417 376 386
Tgfb1i1 209 228 268 173 135 113 164 74 58 353 577 663 243 163 259 278 361
Slc5a2 0 0 2 1 3 1 1 0 3 0 1 2 0 0 0 3 1
BC017158 175 174 191 160 146 108 157 106 79 96 255 218 78 72 125 132 163
Mir3103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Rgs10 36 37 32 29 25 11 51 18 28 23 20 43 14 4 31 36 45
Tial1 1492 1420 1766 1768 1700 963 2238 1481 1028 1287 2218 3305 1092 862 1876 2592 3017
Bag3 1048 993 1254 1361 1302 869 1398 862 618 810 1437 1803 694 481 834 898 1178
Inpp5f 385 397 515 647 585 370 816 480 318 505 761 1210 443 362 670 897 1047
Mcmbp 2445 2442 2864 2430 2282 1468 2677 1816 1200 1640 2936 3974 1366 1037 2305 2917 3341
Sec23ip 1878 1772 2349 1892 1709 1145 2246 1487 917 1397 2476 3191 1180 872 1793 2254 2566
Ppapdc1a 1 0 0 1 0 1 2 0 0 1 1 4 3 0 1 0 2
Wdr11 958 916 1166 871 779 524 1010 663 436 588 1134 1545 497 418 867 1045 1216
Gm4265 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Fgfr2 642 695 946 848 739 513 905 583 372 363 669 1267 381 292 690 741 758
Ate1 883 928 1130 878 796 528 946 710 415 575 990 1465 549 346 812 1040 1120
Nsmce4a 2314 2142 2720 2390 2130 1306 2064 1367 1015 1739 2820 3640 1198 935 1823 2349 2606
Tacc2 1818 1807 2146 1403 1452 876 1474 1049 717 1527 2702 2821 1062 701 1193 1515 1698
Btbd16 5 0 0 1 1 1 0 0 0 1 2 3 2 1 1 1 2
Plekha1 1250 1271 1544 2025 1844 1248 3306 1896 1405 983 1892 2990 994 745 2348 3015 3261
Mir7061 0 0 0 0 2 2 0 1 0 0 0 3 0 0 0 3 1
Htra1 1599 1521 1788 1678 1680 1070 1638 1148 825 553 1003 1891 591 451 619 697 801
Dmbt1 3 0 2 0 0 0 3 4 0 1 1 2 0 0 0 4 3
4933402N03Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1700029B22Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5430419D17Rik 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1
Cuzd1 0 4 2 4 2 1 23 11 7 1 1 8 2 1 0 1 5
1700007K09Rik 0 0 0 1 1 0 2 2 1 1 2 1 0 0 2 0 0
Fam24a 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
2310057M21Rik 406 389 384 402 401 212 530 368 221 217 375 591 212 177 344 436 455
Pstk 435 430 551 332 347 201 395 242 166 356 572 682 230 156 340 460 532
Ikzf5 317 309 420 429 444 261 489 264 205 256 465 795 258 206 401 530 547
Acadsb 514 493 555 572 528 380 549 390 223 306 485 957 293 246 471 599 680
Hmx3 8 0 0 2 2 1 0 3 1 0 1 0 0 0 2 1 2
Hmx2 0 0 0 0 1 0 3 0 1 0 3 0 0 0 0 0 1
Bub3 3129 2943 3606 2892 2542 1723 3520 2375 1652 2713 4445 5487 1890 1402 3083 3518 4326
Gpr26 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cpxm2 2 6 7 1 6 3 7 0 6 68 109 17 4 2 8 8 11
Chst15 168 171 216 233 241 151 365 235 133 148 299 262 114 84 259 237 284
Gm10584 0 1 3 5 3 1 4 1 1 0 1 7 3 6 4 3 1
Oat 885 782 1037 1049 941 585 1443 931 714 1164 1729 1710 632 475 1022 1186 1347
Nkx1-2 2 3 1 2 1 2 1 2 1 231 546 88 44 23 50 48 57
Lhpp 114 128 161 150 137 90 291 197 162 379 592 332 122 91 336 341 349
Fam53b 206 199 234 207 212 161 193 113 94 434 811 570 238 154 212 278 357
Mettl10 113 89 124 93 71 58 120 83 46 132 196 214 57 66 143 189 203
Fam175b 430 491 538 425 394 261 469 376 213 330 681 827 245 236 452 605 675
Zranb1 354 348 465 324 354 206 366 259 211 236 470 587 198 164 356 458 494
Ctbp2 6400 6095 7502 6435 6272 3827 8201 5149 3589 4372 7709 10570 3530 2721 6527 7811 8840
4930483O08Rik 0 0 0 1 0 2 0 0 0 0 4 0 0 0 0 0 0
Tex36 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
Edrf1 637 689 823 853 829 532 1061 682 409 512 989 1417 473 378 822 1005 1156
Mmp21 2 1 0 5 4 1 4 3 3 0 3 5 3 0 1 4 4
Uros 113 141 171 235 212 147 224 134 96 118 185 361 116 81 187 208 296
Bccip 2079 2041 2362 2260 2189 1261 3025 1900 1361 1705 2667 3672 1246 884 2317 2833 3356
Dhx32 1825 1717 2025 2054 1854 1252 1930 1438 827 965 1623 2503 942 695 1411 1688 1951
Fank1 1 8 9 9 15 5 8 6 8 3 9 19 7 4 14 12 15
Adam12 35 49 42 71 51 31 18 11 5 46 111 253 121 75 113 155 179
D7Ertd443e 6 0 2 2 0 0 0 1 1 0 0 1 7 1 9 10 9
Dock1 979 908 1129 718 730 480 735 466 276 1262 2414 2699 955 673 1049 1458 1613
Fam196a 18 6 12 20 33 18 21 10 7 12 16 79 23 12 14 26 34
1700120G07Rik 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0
Nps 0 0 0 1 0 0 0 0 0 1 0 3 2 0 2 2 0
Foxi2 0 5 4 3 5 4 6 3 5 1 4 1 0 0 1 2 3
Clrn3 1 0 1 0 2 1 0 4 1 0 0 1 0 0 2 3 1
Ptpre 19 11 29 25 22 14 32 14 17 25 30 79 32 18 32 37 46
Mir1962 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5830432E09Rik 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0
Mki67 3549 3384 4669 4331 4079 2570 4801 3378 1781 3008 5129 9671 3089 2553 4823 6724 7746
C030029H02Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C230079O03Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm6249 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0
Mgmt 241 256 267 194 193 105 216 186 131 200 234 395 153 98 310 282 326
Ebf3 2 8 6 10 3 6 8 4 5 8 2 15 12 4 16 21 17
Gm10578 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9430038I01Rik 192 224 235 233 255 188 317 215 156 145 152 367 118 92 261 298 330
Glrx3 427 442 521 521 436 270 573 397 303 284 418 686 215 173 473 626 655
Gm12669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tcerg1l 7 5 11 44 34 21 109 63 38 4 10 30 9 7 59 55 69
Mapk1ip1 142 158 188 206 163 100 210 119 78 104 164 313 115 89 225 284 315
Ppp2r2d 1683 1695 2038 3027 2826 1740 3606 2093 1645 1261 2247 5028 1668 1295 3253 4040 4336
Bnip3 6605 6137 7393 821 664 403 769 670 418 3033 4769 707 238 191 748 840 932
Jakmip3 0 1 1 0 1 2 2 0 1 5 4 0 1 0 1 4 2
Dpysl4 29 36 29 17 17 18 31 29 11 128 223 342 138 101 125 160 142
Stk32c 50 48 47 39 44 16 39 29 21 56 116 179 59 56 72 45 82
Lrrc27 95 115 124 84 73 40 147 70 56 65 91 67 25 25 68 78 72
Pwwp2b 345 352 420 358 355 244 460 290 266 110 192 282 97 68 174 157 162
Inpp5a 796 763 896 725 591 400 701 486 306 484 1014 932 334 243 438 594 618
Nkx6-2 56 44 65 44 39 27 48 31 26 65 140 31 16 15 26 13 26
E030019B06Rik 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
Mir6401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gpr123 0 0 0 8 1 3 2 1 2 0 2 38 17 12 21 20 27
Kndc1 160 146 177 206 197 174 314 182 132 110 119 387 135 87 261 338 361
Utf1 5085 5003 5798 7354 6906 5351 9154 5716 5242 2977 5482 12540 4847 3212 8534 7331 8503
Mir7686 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0
Mir202 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0
6430531B16Rik 76 81 81 42 51 31 42 38 23 25 28 72 23 11 29 32 29
Adam8 120 123 159 138 126 79 163 68 67 49 104 140 51 45 62 105 109
Mir7062 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
Tubgcp2 966 973 1149 1085 982 665 1152 820 539 815 1246 2148 816 544 1296 1404 1545
Zfp511 248 312 332 349 272 177 355 212 166 230 398 531 171 127 240 290 338
Msx3 0 0 0 1 1 1 2 1 0 14 31 63 14 9 13 13 7
Caly 1 2 3 4 10 0 3 3 1 7 10 11 6 4 5 5 9
Prap1 3 3 2 7 3 1 3 5 3 3 0 0 0 0 0 1 0
Fuom 77 90 70 55 51 35 81 62 31 46 67 121 47 28 63 84 85
Echs1 1271 1289 1349 1189 1105 698 1518 908 888 1093 1585 2127 739 579 1405 1530 1852
Paox 464 470 541 447 430 254 580 375 285 340 571 817 269 210 550 613 716
Mtg1 419 426 549 448 446 278 481 346 246 313 475 692 247 185 423 479 548
Sprn 0 2 0 1 1 1 6 7 5 0 3 5 3 1 2 4 6
Olfr522 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr523 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cd163l1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
5830411N06Rik 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0
Olfr525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr527 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr530 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr532 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr536 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
Olfr61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr539 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
Olfr45 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0
Olfr541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cyp2e1 9 5 16 1 9 2 6 6 0 3 10 3 1 7 4 7 4
Syce1 254 238 253 246 250 116 341 236 174 177 270 473 142 112 369 474 477
Zfp941 160 152 186 162 175 112 273 149 103 94 198 280 97 81 181 254 309
Urah 75 80 97 52 55 31 99 64 50 56 79 100 47 21 88 104 100
C330022C24Rik 4 0 1 0 1 2 2 1 0 1 1 0 0 1 0 1 3
Scgb1c1 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 1 0
Odf3 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 2
Bet1l 278 290 366 518 517 306 472 309 265 198 267 715 235 196 430 478 519
Ric8 819 823 849 962 831 559 956 611 555 595 873 1705 623 495 986 1073 1158
Sirt3 282 293 286 203 219 139 324 164 184 130 212 380 130 84 263 335 303
Psmd13 3341 3357 3854 3725 3468 2271 4742 2988 2582 2691 4158 6288 2229 1719 4560 5088 5638
Cox8b 2 2 4 2 0 3 1 1 0 0 2 1 0 0 2 1 1
BC024386 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1
Nlrp6 1 0 0 2 6 0 10 5 3 7 10 13 9 1 5 10 16
Athl1 164 153 210 142 161 103 229 119 104 290 455 592 244 170 432 459 494
Ifitm5 5 7 5 29 15 10 12 9 15 11 16 21 16 13 21 26 26
Ifitm2 1813 1693 2037 1865 1814 1180 2372 1478 1428 2777 4844 6561 2322 1700 5394 5257 5765
Ifitm1 314 263 362 390 401 286 556 284 265 2141 3511 3456 1232 966 2087 2345 2585
Ifitm3 692 622 801 779 834 523 1055 628 681 2086 3304 4835 1707 1318 3159 3312 3664
Ifitm6 0 0 0 0 0 0 1 1 0 0 0 4 0 0 4 0 2
B4galnt4 186 196 256 114 116 92 241 140 107 644 1124 1213 478 311 755 813 970
Pkp3 373 352 430 196 195 150 239 147 123 182 279 356 155 105 175 182 190
Sigirr 526 559 597 191 221 115 205 150 150 208 319 352 170 119 215 228 274
Ano9 121 75 121 84 88 40 135 82 44 208 351 426 174 118 319 410 504
Ptdss2 1606 1694 2052 1560 1532 971 1717 1174 811 1061 1829 2551 930 641 1522 1583 1881
Rnh1 2540 2545 2943 1995 1879 1153 1726 1041 1047 1245 2027 2723 1019 686 1502 1678 1812
Hras 1520 1514 1774 2026 2098 1254 2431 1599 1463 1069 1727 3250 1074 769 2028 2042 2305
Lrrc56 43 65 59 65 56 27 45 37 28 55 97 142 63 40 83 87 102
1600016N20Rik 56 53 83 35 38 26 68 33 28 63 98 121 38 26 80 95 95
Rassf7 479 529 592 507 462 294 498 350 268 442 708 934 338 242 609 614 640
Mir210 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Phrf1 2489 2558 3241 2782 2597 1674 2843 1892 1136 1745 3326 4739 1773 1242 2405 2703 3237
Irf7 18 18 19 24 17 13 19 7 8 15 14 21 5 5 9 13 19
Cdhr5 12 4 9 5 2 6 8 6 2 2 9 9 1 1 0 4 1
Sct 108 92 104 124 133 72 227 135 112 29 38 49 22 13 40 46 72
Drd4 2 0 4 2 2 1 4 2 4 4 5 4 2 1 3 10 2
Deaf1 593 593 782 453 461 297 602 434 265 432 889 1124 377 308 658 705 851
Tmem80 40 51 58 48 51 33 59 31 23 57 130 167 51 38 101 100 118
Eps8l2 884 883 1091 725 724 459 711 404 309 398 644 980 341 247 494 526 646
B230206H07Rik 1 6 4 8 5 4 1 2 1 0 3 7 3 0 1 7 8
Taldo1 4781 4743 5560 4748 4596 2948 5560 3513 3050 3500 5138 7306 2697 1914 4967 5171 5977
Pddc1 465 445 496 436 417 274 435 280 198 389 631 975 343 271 523 608 679
Cend1 22 30 25 35 33 24 68 35 35 24 33 81 31 20 56 52 72
Slc25a22 361 378 408 630 557 342 658 417 337 457 827 1248 425 336 613 699 772
Pidd1 445 435 543 636 645 437 710 453 341 434 756 1255 459 379 777 804 925
Rplp2 17912 17365 19590 16619 15295 10378 16347 10672 9605 15235 21084 27051 10098 7037 15773 16204 18932
Snora52 12 10 19 37 23 9 24 14 5 15 10 46 10 13 18 16 30
Pnpla2 498 448 505 587 570 394 653 450 328 501 872 1127 385 312 620 618 741
Efcab4a 25 37 51 46 31 32 42 25 17 51 64 119 51 45 54 51 75
Cd151 1754 1629 2057 1704 1781 1081 2270 1310 1238 1588 2565 3650 1331 950 2127 2234 2423
Polr2l 1417 1401 1598 1385 1300 879 1449 1003 863 1162 1762 2285 794 579 1463 1471 1687
Tspan4 275 287 312 272 279 169 491 331 235 322 425 554 182 140 510 458 510
Chid1 322 311 382 387 370 221 454 319 213 231 377 532 225 125 353 402 458
Ap2a2 3248 3145 3968 3135 2827 2046 3195 2197 1456 2653 4849 5824 1991 1518 2711 3129 3682
Gm16982 2 5 5 7 8 3 3 5 2 1 6 9 4 2 3 9 2
Mir7063 0 0 1 1 0 1 2 3 1 0 2 3 0 0 0 0 1
Muc6 0 0 0 9 11 6 7 4 7 0 0 16 2 3 2 4 8
Muc2 27 13 27 4 7 4 1 1 1 11 24 6 1 4 0 0 1
Muc5ac 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0
Muc5b 1 0 3 3 5 2 0 4 1 6 0 0 0 0 0 1 0
Tollip 1734 1643 2072 1866 1687 1071 2072 1286 868 789 1467 2214 679 536 1028 1255 1474
Brsk2 28 40 57 37 39 51 70 65 36 43 67 81 32 18 42 62 62
Mir3104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mob2 363 385 419 477 407 256 458 278 264 294 552 778 259 216 505 503 537
Dusp8 54 53 76 56 62 45 112 74 43 46 119 115 36 20 48 44 78
Krtap5-2 0 0 0 0 0 0 0 2 0 2 0 2 0 0 0 0 0
Krtap5-3 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 2
Krtap5-5 0 0 1 2 8 1 1 1 3 2 0 1 2 0 0 0 0
Gm4559 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
Krtap5-1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
Krtap5-4 2 0 0 4 0 1 4 0 3 0 0 1 0 0 0 0 2
Ifitm10 4 5 3 0 2 4 4 1 1 2 0 0 1 3 0 0 0
Ctsd 11450 11295 13635 12434 11518 7250 12907 8286 7109 3409 5347 9605 3327 2598 5532 5906 6863
Syt8 10 19 26 5 5 4 5 2 6 4 12 11 5 2 9 3 6
Tnni2 57 57 67 32 58 27 19 23 17 41 69 46 20 2 13 8 25
Lsp1 138 163 171 98 91 51 94 68 31 491 862 551 185 146 235 247 261
Prr33 23 18 26 15 15 8 12 16 4 8 11 12 9 3 7 7 11
Tnnt3 213 256 303 226 201 110 159 132 72 53 78 183 62 38 53 75 105
Mrpl23 713 726 803 586 522 360 645 452 363 582 795 890 334 225 646 690 822
Nctc1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
H19 14960 14840 17746 13025 13608 8544 17120 12210 8040 6430 11381 13659 5194 3349 8338 9395 12578
Mir675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Igf2 6478 6983 8135 5810 5604 3917 6068 3635 2308 3970 8350 6050 2505 1536 3296 3767 5534
Mir483 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 1
Igf2os 178 204 216 185 199 114 225 150 96 100 218 125 59 31 72 95 130
Ins2 2 0 0 0 0 2 0 1 1 0 0 0 0 0 1 0 2
Th 63 31 45 59 54 26 63 34 27 2 5 2 2 0 5 5 6
Ascl2 279 276 316 343 353 258 458 292 252 17 26 73 35 26 66 66 81
Tspan32 53 48 81 58 59 36 62 35 24 5 9 47 11 10 20 27 18
R74862 54 36 47 52 47 29 52 42 25 21 57 82 27 23 38 43 60
Cd81 3741 3669 4663 3464 3294 2214 3268 1940 1762 2445 4286 5551 1894 1375 2933 3050 3361
Tssc4 669 639 793 831 735 444 706 504 408 495 802 1229 477 292 704 735 848
Trpm5 1 0 1 0 2 3 1 1 0 1 0 3 1 0 0 0 0
Kcnq1 2 0 0 1 2 3 6 1 1 0 2 0 0 0 1 0 0
Kcnq1ot1 45 58 66 317 214 131 434 324 173 62 85 347 112 120 177 342 297
4933417O13Rik 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
Cdkn1c 520 519 580 692 778 536 1085 721 488 509 1013 1630 659 407 996 978 1157
Slc22a18 33 32 36 21 13 8 25 13 11 28 39 26 9 6 26 23 21
Phlda2 1000 957 1085 385 323 273 401 239 160 648 1124 269 131 95 189 186 211
Nap1l4 3775 3714 4399 3974 3508 2372 4551 3004 2306 2983 5143 6877 2427 1755 4569 5227 5774
Cars 2204 2230 2603 2114 2066 1273 2551 1643 1290 1376 2308 3599 1183 963 2054 2408 2638
Mir7064 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
Tnfrsf26 5 7 9 16 15 7 9 4 7 3 17 15 5 3 4 9 14
Tnfrsf22 115 122 137 131 109 82 121 69 54 98 167 215 93 60 118 155 186
Tnfrsf23 92 142 138 158 147 87 120 65 44 85 174 271 102 71 68 105 132
Osbpl5 88 113 124 80 72 60 81 41 49 166 271 257 123 73 117 103 127
Mrgprg 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mrgpre 21 16 17 10 8 5 8 5 2 11 16 18 16 11 9 9 10
Nadsyn1 126 120 160 91 96 61 95 81 51 71 200 182 75 57 129 151 160
